epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,15282.8,0.84373,0.7306,1.02903,0.8545,0.88208,0.91293,0.73412,0.73222,0.5905,0.9629,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,15487.6,0.8521,0.74268,1.03202,0.8164,0.92518,0.91359,0.73301,0.77322,0.54959,0.98574,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,15706.7,0.83739,0.72201,1.02163,0.87231,0.88842,0.9201,0.74014,0.75714,0.54278,0.96472,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,15921.3,0.84011,0.72776,1.02815,0.83908,0.91183,0.90986,0.71392,0.84573,0.56651,1.01846,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,16134.7,0.84357,0.72037,1.02299,0.85169,0.88595,0.89747,0.71599,0.76754,0.58088,0.97894,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,16343.1,0.83771,0.73281,1.02838,0.82187,0.89174,0.91092,0.72863,0.72349,0.55011,0.95269,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,16555.4,0.8426,0.73347,1.02391,0.83549,0.88284,0.9045,0.7306,0.69922,0.55756,0.96411,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,16767.6,0.83619,0.72336,1.02159,0.84132,0.90615,0.89323,0.71024,0.72771,0.56339,0.95328,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,16972.6,0.82761,0.71034,1.03209,0.84048,0.91192,0.89698,0.72005,0.73321,0.56042,0.95343,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,17181.7,0.84019,0.7319,1.01912,0.84825,0.9142,0.91286,0.70408,0.84618,0.56888,0.97931,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,17396.9,0.82426,0.72343,1.0176,0.82671,0.92161,0.91031,0.73107,0.71416,0.53112,0.94986,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,17616.9,0.81296,0.71495,1.01016,0.81457,0.9389,0.91743,0.74356,0.70792,0.53038,0.94852,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,17848.3,0.82315,0.72625,1.01395,0.83351,0.93445,0.91824,0.747,0.70792,0.52686,0.95421,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,18079.6,0.82556,0.71271,1.02127,0.84164,0.91351,0.90594,0.71761,0.72576,0.54258,0.94278,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,18313.1,0.81536,0.69863,1.00882,0.84585,0.89742,0.9054,0.71178,0.79257,0.56301,0.9786,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
