epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,14989.9,0.7458,0.82553,1.01841,0.84723,0.89901,0.90465,0.70792,0.79861,0.60567,0.94018,0.000468283,0.000468283,0.000468283
81,15200.8,0.7641,0.80696,1.03668,0.85587,0.90497,0.9051,0.71068,0.79475,0.58268,0.93569,0.000464476,0.000464476,0.000464476
82,15416.1,0.76419,0.8072,1.02976,0.8658,0.90649,0.91558,0.73967,0.73306,0.55457,0.92704,0.000460669,0.000460669,0.000460669
83,15629.4,0.76564,0.81778,1.03626,0.8277,0.92515,0.89968,0.72205,0.74615,0.58958,0.92625,0.000456863,0.000456863,0.000456863
84,15840,0.75741,0.81098,1.02554,0.82436,0.9205,0.90795,0.72603,0.74649,0.5848,0.92806,0.000453056,0.000453056,0.000453056
85,16053.8,0.7663,0.78683,1.02756,0.8557,0.89406,0.91722,0.73734,0.75985,0.56775,0.93126,0.00044925,0.00044925,0.00044925
86,16275.5,0.76507,0.7935,1.0249,0.85237,0.89892,0.91803,0.74468,0.73194,0.56154,0.92164,0.000445443,0.000445443,0.000445443
87,16498,0.75643,0.81098,1.02793,0.84132,0.90688,0.91817,0.72562,0.78564,0.57021,0.9417,0.000441637,0.000441637,0.000441637
88,16732.2,0.74928,0.78152,1.02116,0.82718,0.91629,0.90706,0.71726,0.78561,0.57777,0.9354,0.00043783,0.00043783,0.00043783
89,16967.6,0.75183,0.77131,1.02506,0.8464,0.89502,0.89512,0.71135,0.75994,0.58317,0.93275,0.000434024,0.000434024,0.000434024
90,17205.5,0.7554,0.80915,1.02702,0.86728,0.87531,0.90842,0.72637,0.73905,0.56153,0.92245,0.000430217,0.000430217,0.000430217
91,17435.4,0.74148,0.7755,1.00871,0.8555,0.91113,0.92105,0.74873,0.70631,0.54771,0.91846,0.000426411,0.000426411,0.000426411
92,17680.5,0.74843,0.78523,1.02812,0.84877,0.88712,0.9076,0.73784,0.71888,0.56081,0.9127,0.000422604,0.000422604,0.000422604
93,17929.1,0.75295,0.78356,1.02284,0.85689,0.90388,0.90769,0.7287,0.73854,0.55777,0.93249,0.000418797,0.000418797,0.000418797
94,18165.5,0.75412,0.78595,1.02641,0.85265,0.89233,0.89988,0.72738,0.70132,0.56397,0.91533,0.000414991,0.000414991,0.000414991
95,18414.2,0.73627,0.79019,1.01551,0.85635,0.92017,0.91978,0.74302,0.72647,0.55883,0.91324,0.000411184,0.000411184,0.000411184
96,18655.8,0.74269,0.77067,1.02352,0.86295,0.89936,0.9176,0.74741,0.70085,0.55,0.92076,0.000407378,0.000407378,0.000407378
97,18895.2,0.74373,0.78806,1.02357,0.85679,0.91039,0.90037,0.72954,0.72555,0.56448,0.91854,0.000403571,0.000403571,0.000403571
98,19144.4,0.72706,0.76539,1.00787,0.83769,0.89344,0.90726,0.72573,0.72879,0.56834,0.91818,0.000399765,0.000399765,0.000399765
99,19386.2,0.74696,0.77299,1.0155,0.83609,0.91729,0.9152,0.74303,0.71886,0.55124,0.91506,0.000395958,0.000395958,0.000395958
100,19638.4,0.74547,0.76051,1.027,0.85529,0.88664,0.91665,0.75141,0.70023,0.54635,0.90273,0.000392152,0.000392152,0.000392152
101,19887.9,0.74382,0.77686,1.0232,0.84258,0.92134,0.91957,0.74701,0.69731,0.55622,0.90536,0.000388345,0.000388345,0.000388345
102,20141.3,0.73287,0.77172,1.01449,0.85862,0.90641,0.92012,0.75166,0.6848,0.54119,0.90537,0.000384538,0.000384538,0.000384538
103,20387.2,0.74005,0.76551,1.01532,0.87034,0.89137,0.92492,0.75291,0.70646,0.54521,0.91256,0.000380732,0.000380732,0.000380732
104,20629.1,0.71444,0.76716,1.01047,0.86753,0.89132,0.92632,0.76788,0.6714,0.52781,0.90384,0.000376925,0.000376925,0.000376925
105,20870.2,0.73397,0.77417,1.01039,0.85843,0.90709,0.92605,0.7502,0.71984,0.54203,0.91216,0.000373119,0.000373119,0.000373119
106,21109.3,0.72237,0.75081,1.00883,0.87021,0.91751,0.92178,0.73761,0.75515,0.54551,0.92842,0.000369312,0.000369312,0.000369312
107,21360.4,0.72669,0.75509,1.00893,0.84319,0.91631,0.91747,0.74295,0.70343,0.53396,0.91562,0.000365506,0.000365506,0.000365506
108,21602.7,0.73184,0.75201,1.01101,0.86385,0.90942,0.91605,0.74202,0.70658,0.53122,0.91965,0.000361699,0.000361699,0.000361699
109,21853.6,0.72475,0.7498,1.00249,0.86477,0.90222,0.92151,0.74607,0.7085,0.53357,0.91036,0.000357893,0.000357893,0.000357893
110,22101.1,0.72761,0.75641,1.0101,0.86496,0.90651,0.92654,0.74558,0.71307,0.54381,0.91653,0.000354086,0.000354086,0.000354086
111,22355,0.71188,0.76064,1.00961,0.8738,0.87563,0.91513,0.75242,0.67604,0.54666,0.90987,0.00035028,0.00035028,0.00035028
112,22603,0.71147,0.737,1.00664,0.86046,0.91928,0.92325,0.74207,0.72017,0.54356,0.92091,0.000346473,0.000346473,0.000346473
113,22851.5,0.71275,0.74178,1.00656,0.85821,0.89173,0.91214,0.74167,0.71415,0.54448,0.91182,0.000342666,0.000342666,0.000342666
114,23099.2,0.71359,0.73135,1.01161,0.85311,0.90978,0.92021,0.74303,0.69338,0.5432,0.91583,0.00033886,0.00033886,0.00033886
115,23362.5,0.71619,0.75558,1.01463,0.85557,0.90331,0.91322,0.73963,0.71622,0.54739,0.91286,0.000335053,0.000335053,0.000335053
116,23608.2,0.72282,0.73651,1.00813,0.88106,0.89432,0.92564,0.76056,0.69448,0.52197,0.91014,0.000331247,0.000331247,0.000331247
117,23860.7,0.70502,0.72494,0.99105,0.88333,0.8948,0.92885,0.75597,0.68947,0.52833,0.90995,0.00032744,0.00032744,0.00032744
118,24117.8,0.70585,0.73652,0.99892,0.87429,0.90927,0.93026,0.7566,0.71792,0.5239,0.91693,0.000323634,0.000323634,0.000323634
119,24373.2,0.7081,0.76367,1.00151,0.85294,0.92013,0.92472,0.75927,0.71444,0.5274,0.91231,0.000319827,0.000319827,0.000319827
120,24626.3,0.71474,0.74915,1.00909,0.8791,0.90354,0.92651,0.7654,0.6621,0.51312,0.90431,0.000316021,0.000316021,0.000316021
121,24874.1,0.70898,0.73706,1.00384,0.86192,0.90997,0.92437,0.75103,0.70241,0.52429,0.90335,0.000312214,0.000312214,0.000312214
122,25134.4,0.70736,0.72546,0.99854,0.85615,0.90928,0.92201,0.75617,0.66864,0.52848,0.8989,0.000308407,0.000308407,0.000308407
123,25396.9,0.70013,0.74016,1.00024,0.84797,0.9345,0.92859,0.75603,0.69393,0.52456,0.90283,0.000304601,0.000304601,0.000304601
124,25652.2,0.70701,0.72816,1.00256,0.84499,0.92382,0.92475,0.76161,0.6685,0.51096,0.89775,0.000300794,0.000300794,0.000300794
125,25915.5,0.68999,0.73907,0.99335,0.86991,0.89508,0.92616,0.76641,0.65348,0.51782,0.89583,0.000296988,0.000296988,0.000296988
126,26177.6,0.70184,0.7273,1.00259,0.88062,0.90525,0.9419,0.76834,0.67695,0.50936,0.89785,0.000293181,0.000293181,0.000293181
127,26431.2,0.70529,0.71537,1.00452,0.85777,0.92422,0.92636,0.75627,0.69686,0.51971,0.90497,0.000289375,0.000289375,0.000289375
128,26685.8,0.69955,0.69241,0.99736,0.87511,0.9009,0.93055,0.75755,0.69252,0.51626,0.90505,0.000285568,0.000285568,0.000285568
129,26940.6,0.69669,0.70621,0.9939,0.89548,0.90148,0.93417,0.76734,0.66398,0.49987,0.89705,0.000281762,0.000281762,0.000281762
130,27207.6,0.70927,0.71889,1.00236,0.86258,0.91839,0.93129,0.76339,0.66975,0.51228,0.90135,0.000277955,0.000277955,0.000277955
131,27463.9,0.70199,0.70878,0.99614,0.87472,0.90778,0.93007,0.76259,0.68406,0.51166,0.90257,0.000274148,0.000274148,0.000274148
132,27720.4,0.69482,0.72425,0.99908,0.87076,0.92047,0.92906,0.75887,0.67387,0.51632,0.89641,0.000270342,0.000270342,0.000270342
133,27977.5,0.69064,0.72204,0.98763,0.88199,0.90127,0.92739,0.75954,0.68635,0.51406,0.89888,0.000266535,0.000266535,0.000266535
134,28236,0.6882,0.70872,0.99733,0.87321,0.90465,0.93027,0.76701,0.66091,0.50656,0.89911,0.000262729,0.000262729,0.000262729
135,28495.2,0.67372,0.71562,0.98712,0.87004,0.91828,0.93137,0.77999,0.61995,0.4964,0.88807,0.000258922,0.000258922,0.000258922
136,28767.1,0.67831,0.69911,0.99013,0.87152,0.91666,0.92617,0.76334,0.6549,0.50664,0.89735,0.000255116,0.000255116,0.000255116
137,29024.6,0.68578,0.69368,0.99389,0.86487,0.92529,0.92392,0.7639,0.64353,0.51638,0.89472,0.000251309,0.000251309,0.000251309
138,29284,0.68498,0.71249,0.9929,0.85303,0.92089,0.92555,0.76205,0.65832,0.51116,0.90311,0.000247503,0.000247503,0.000247503
139,29539,0.67541,0.69172,0.99013,0.87213,0.92991,0.93024,0.75704,0.67809,0.50148,0.9035,0.000243696,0.000243696,0.000243696
140,29816.2,0.66918,0.68614,0.98272,0.86289,0.9228,0.92517,0.75805,0.6615,0.50536,0.89866,0.00023989,0.00023989,0.00023989
141,30081.5,0.6662,0.67655,0.97644,0.85809,0.92192,0.92331,0.75188,0.66369,0.51218,0.90175,0.000236083,0.000236083,0.000236083
142,30340.5,0.67796,0.69221,0.98714,0.87033,0.90921,0.9264,0.75061,0.67547,0.5114,0.89845,0.000232276,0.000232276,0.000232276
143,30605.7,0.66881,0.68965,0.98176,0.87345,0.90385,0.92944,0.76068,0.66238,0.5027,0.89469,0.00022847,0.00022847,0.00022847
144,30871.1,0.67375,0.68554,0.98895,0.86224,0.91223,0.92506,0.76457,0.63123,0.5034,0.88926,0.000224663,0.000224663,0.000224663
145,31134.7,0.677,0.69679,0.99266,0.86092,0.91315,0.92636,0.76212,0.64954,0.50937,0.89198,0.000220857,0.000220857,0.000220857
146,31401.1,0.68494,0.69442,0.98491,0.85529,0.92742,0.92958,0.76457,0.65443,0.49966,0.89135,0.00021705,0.00021705,0.00021705
147,31687.6,0.66987,0.69719,0.9849,0.86767,0.92698,0.92915,0.76539,0.64754,0.49768,0.88951,0.000213244,0.000213244,0.000213244
148,31990.8,0.6702,0.6879,0.98536,0.86634,0.92999,0.9302,0.76365,0.65442,0.49014,0.89045,0.000209437,0.000209437,0.000209437
149,32286.8,0.67022,0.68037,0.97858,0.87654,0.90975,0.92887,0.76784,0.63754,0.48758,0.88959,0.000205631,0.000205631,0.000205631
150,32545.3,0.66895,0.67203,0.97941,0.86527,0.92232,0.92627,0.77027,0.63953,0.49561,0.89253,0.000201824,0.000201824,0.000201824
151,32825.1,0.65858,0.66999,0.97856,0.89018,0.89102,0.92683,0.76727,0.62979,0.50071,0.89356,0.000198018,0.000198018,0.000198018
152,33125.3,0.66024,0.67246,0.97473,0.89217,0.89349,0.92365,0.76691,0.64533,0.50121,0.89661,0.000194211,0.000194211,0.000194211
153,33414.6,0.66793,0.6702,0.98324,0.8797,0.89923,0.92496,0.77261,0.62726,0.50258,0.894,0.000190404,0.000190404,0.000190404
154,33703.4,0.65486,0.6657,0.98194,0.89489,0.90067,0.92807,0.77124,0.63881,0.50448,0.89276,0.000186598,0.000186598,0.000186598
155,34008.7,0.64689,0.67111,0.97534,0.87675,0.89587,0.92535,0.77538,0.62892,0.50171,0.89494,0.000182791,0.000182791,0.000182791
156,34298.3,0.66089,0.66237,0.98256,0.88048,0.89999,0.92938,0.77573,0.62662,0.50155,0.89117,0.000178985,0.000178985,0.000178985
157,34584,0.66356,0.67343,0.98677,0.86526,0.92208,0.93086,0.77799,0.6272,0.49554,0.89363,0.000175178,0.000175178,0.000175178
158,34868.8,0.66407,0.67762,0.9811,0.87302,0.91017,0.93063,0.77502,0.63432,0.49619,0.89508,0.000171372,0.000171372,0.000171372
159,35157.8,0.65523,0.67807,0.98471,0.86705,0.9222,0.93131,0.77393,0.64307,0.49968,0.89575,0.000167565,0.000167565,0.000167565
160,35454.5,0.64991,0.65908,0.97479,0.85822,0.9214,0.92766,0.77527,0.62293,0.50611,0.88948,0.000163759,0.000163759,0.000163759
