epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,10355.3,0.81426,0.72167,1.02693,0.82374,0.91143,0.90958,0.73931,0.68733,0.51492,0.9213,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,10517.8,0.8064,0.73518,1.03291,0.81686,0.9221,0.90522,0.72855,0.69577,0.5348,0.92441,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,10677.4,0.81328,0.72491,1.03974,0.85773,0.89845,0.91603,0.75141,0.63853,0.49303,0.91684,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,10836.5,0.80244,0.72666,1.02675,0.85728,0.87988,0.91336,0.73271,0.68203,0.5006,0.92481,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,10995.9,0.80721,0.72164,1.02991,0.85382,0.87828,0.90811,0.70898,0.78257,0.53788,0.94752,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,11161.6,0.79817,0.72285,1.01778,0.81993,0.91609,0.89864,0.74344,0.61278,0.51988,0.90157,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,11318.7,0.79314,0.722,1.0253,0.84726,0.90204,0.90398,0.74303,0.65732,0.4954,0.92156,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,11483.8,0.80559,0.72553,1.02543,0.83957,0.87971,0.89408,0.72907,0.66164,0.53937,0.90728,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,11642,0.79198,0.71047,1.01361,0.85982,0.84702,0.90553,0.73811,0.64756,0.52246,0.90953,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,11805.3,0.78155,0.70305,1.01419,0.84423,0.90135,0.91425,0.75078,0.63634,0.5018,0.90437,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,11969,0.7983,0.70396,1.02254,0.79709,0.90585,0.89769,0.75215,0.57673,0.52664,0.89578,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,12131.2,0.7961,0.71475,1.02298,0.82615,0.92233,0.913,0.7383,0.68944,0.49856,0.92311,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,12295.5,0.78722,0.69785,1.01518,0.83449,0.86998,0.88959,0.72204,0.67447,0.52857,0.91287,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,12469.1,0.77927,0.69414,1.01471,0.81197,0.92511,0.90567,0.74686,0.62621,0.50977,0.89785,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,12630.9,0.79456,0.70666,1.02326,0.84819,0.88525,0.90945,0.72754,0.68556,0.50966,0.92049,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,12802,0.7756,0.70242,1.01492,0.88135,0.89234,0.90551,0.72093,0.71623,0.50804,0.93161,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,12973.5,0.7856,0.69283,1.01693,0.83005,0.88677,0.89314,0.72594,0.64397,0.51796,0.90729,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,13139.7,0.79203,0.71989,1.02229,0.81826,0.93901,0.90225,0.74785,0.64028,0.49781,0.90269,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,13302.8,0.78617,0.70334,1.01978,0.84232,0.89389,0.90486,0.73937,0.65674,0.5031,0.90959,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,13471.2,0.77403,0.69837,1.01005,0.84051,0.88547,0.90487,0.74518,0.62139,0.49621,0.89872,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,13640.6,0.76947,0.68265,1.01422,0.83057,0.91967,0.91385,0.74241,0.68687,0.50231,0.911,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,13809.5,0.78972,0.69306,1.02422,0.86235,0.88456,0.91087,0.7415,0.66959,0.50733,0.91165,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,13972.3,0.765,0.67235,1.00848,0.82645,0.93121,0.92179,0.7684,0.59126,0.48121,0.88785,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,14136.4,0.76989,0.68795,1.01611,0.84371,0.90133,0.91169,0.74494,0.63811,0.50296,0.9085,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,14303.9,0.77025,0.6786,1.01189,0.8582,0.88628,0.9163,0.74287,0.66036,0.49297,0.90189,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,14469.4,0.77607,0.68388,1.01395,0.82973,0.90965,0.89876,0.7442,0.64766,0.52041,0.90493,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,14633.9,0.76045,0.68804,1.00492,0.84379,0.87945,0.90542,0.75881,0.57734,0.4845,0.88205,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,14802.8,0.77071,0.6904,1.00213,0.8729,0.88263,0.92181,0.73726,0.69434,0.48345,0.91373,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,14972.8,0.75239,0.65482,1.0031,0.83808,0.89094,0.89845,0.74664,0.61289,0.496,0.89341,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,15138.8,0.76903,0.68413,1.00728,0.81868,0.9296,0.91269,0.74873,0.62828,0.50236,0.90293,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,15317.2,0.75911,0.6663,1.00451,0.85903,0.8712,0.90113,0.76294,0.57021,0.49523,0.88992,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,15487.1,0.75925,0.6721,1.00495,0.85276,0.89325,0.91593,0.76877,0.56976,0.47861,0.88283,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,15668.6,0.7476,0.67128,1.00512,0.86426,0.87714,0.90186,0.75605,0.59156,0.49205,0.8931,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,15847.4,0.75638,0.65952,1.00437,0.80643,0.9339,0.91518,0.76309,0.61764,0.48408,0.90184,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,16025.4,0.76137,0.65541,1.00863,0.85644,0.88317,0.90422,0.75768,0.57241,0.47686,0.88736,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
