epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,12269.5,0.79396,0.70899,1.02258,0.85129,0.87903,0.90917,0.73631,0.67078,0.51805,0.91456,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,12439.9,0.78795,0.70655,1.01219,0.80753,0.91004,0.91872,0.74724,0.66328,0.50085,0.90031,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,12608,0.78548,0.69636,1.0145,0.82887,0.89679,0.89643,0.72427,0.67141,0.51213,0.90791,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,12775.1,0.79547,0.71327,1.02227,0.87635,0.89959,0.91507,0.73617,0.68669,0.50718,0.91228,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,12948.7,0.78041,0.69797,1.01957,0.82321,0.90395,0.8945,0.68837,0.77396,0.53434,0.94598,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,13127,0.78442,0.69543,1.01858,0.77911,0.91843,0.88156,0.72339,0.6371,0.53893,0.90696,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,13301.4,0.78394,0.71725,1.01677,0.82996,0.91282,0.9099,0.75722,0.61876,0.49013,0.90081,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,13460.8,0.78921,0.7067,1.01826,0.79515,0.94999,0.91253,0.74477,0.68538,0.51098,0.91991,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,13631.7,0.7811,0.69737,1.01323,0.83431,0.87406,0.89758,0.72509,0.68071,0.52456,0.91028,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,13802.1,0.77241,0.68247,1.01324,0.79731,0.93143,0.89495,0.73345,0.67566,0.50733,0.91457,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,13972.9,0.79419,0.69965,1.02231,0.82028,0.92063,0.91139,0.74716,0.63377,0.49434,0.90092,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,14144.3,0.77151,0.68557,1.00975,0.85127,0.87177,0.90278,0.75191,0.58458,0.49806,0.88775,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,14315.5,0.77635,0.68612,1.01767,0.82529,0.90777,0.90253,0.7381,0.63492,0.49835,0.90657,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,14490.3,0.77487,0.68407,1.01473,0.805,0.94684,0.90765,0.73122,0.6733,0.49445,0.90829,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,14661.6,0.78328,0.6932,1.01799,0.83815,0.91297,0.91263,0.75413,0.64658,0.50164,0.89972,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,14832.7,0.76978,0.68807,1.00981,0.84924,0.88503,0.90737,0.74785,0.6367,0.4806,0.89803,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,15009.7,0.77292,0.69116,1.00578,0.84408,0.89598,0.91545,0.74689,0.6533,0.48197,0.90389,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,15184,0.76479,0.66265,1.00726,0.81931,0.9358,0.90894,0.76349,0.57945,0.47017,0.88271,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,15356,0.76917,0.68677,1.01253,0.85412,0.88007,0.90806,0.74787,0.62007,0.48915,0.89456,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,15533.7,0.7637,0.66389,1.00654,0.84242,0.89493,0.90074,0.75629,0.5818,0.48549,0.88827,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,15711.5,0.76231,0.669,1.00688,0.81869,0.92383,0.90229,0.73875,0.64638,0.49447,0.89533,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,15893,0.75248,0.67094,1.00454,0.84014,0.89986,0.91023,0.75552,0.62166,0.48719,0.89125,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,16070.4,0.76837,0.6586,1.00882,0.83807,0.89505,0.90954,0.7561,0.62248,0.49617,0.88961,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,16254.5,0.76325,0.65974,1.00734,0.81529,0.93813,0.90301,0.75588,0.58331,0.47545,0.88646,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,16426.4,0.76627,0.66581,1.00253,0.8131,0.94103,0.91281,0.76571,0.58252,0.47983,0.88933,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,16593.8,0.75996,0.6551,1.00342,0.86998,0.87063,0.92203,0.75454,0.64197,0.48141,0.90147,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,16763.7,0.75858,0.66153,1.00861,0.87694,0.89537,0.90695,0.75585,0.57175,0.46901,0.88281,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
