epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,13664.3,0.56177,0.44535,0.91678,0.84876,0.88104,0.90856,0.77147,0.52039,0.47512,0.86639,0.000316207,0.000316207,0.000316207
96,13833,0.56642,0.44942,0.92347,0.8303,0.92434,0.91939,0.79672,0.48802,0.44263,0.85704,0.000310709,0.000310709,0.000310709
97,13986.6,0.55965,0.44258,0.91378,0.84529,0.91074,0.91932,0.79018,0.50851,0.44888,0.85917,0.000305211,0.000305211,0.000305211
98,14180.6,0.56773,0.44804,0.91831,0.83078,0.91376,0.90954,0.77868,0.51056,0.45796,0.86636,0.000299713,0.000299713,0.000299713
99,14367.4,0.54962,0.43788,0.90634,0.84602,0.90414,0.92217,0.79357,0.50207,0.42693,0.86397,0.000294216,0.000294216,0.000294216
100,14557,0.54723,0.44604,0.91139,0.86374,0.86857,0.91374,0.77668,0.54996,0.44871,0.8719,0.000288718,0.000288718,0.000288718
101,14727.2,0.55376,0.43185,0.91422,0.84623,0.9074,0.92014,0.78727,0.52174,0.44269,0.86856,0.00028322,0.00028322,0.00028322
102,14895.4,0.56119,0.43651,0.91631,0.86536,0.88037,0.92258,0.79319,0.48945,0.44229,0.86374,0.000277722,0.000277722,0.000277722
103,15053.8,0.55095,0.44204,0.91082,0.85598,0.87838,0.90904,0.7807,0.52138,0.44573,0.87014,0.000272224,0.000272224,0.000272224
104,15220,0.54566,0.4259,0.91206,0.83291,0.89734,0.90944,0.77375,0.55573,0.4588,0.8795,0.000266727,0.000266727,0.000266727
105,15381.7,0.54278,0.41763,0.90497,0.822,0.89857,0.90067,0.77587,0.52323,0.46865,0.87673,0.000261229,0.000261229,0.000261229
106,15551.3,0.5478,0.42999,0.91421,0.81962,0.91928,0.89883,0.76065,0.53466,0.46837,0.87517,0.000255731,0.000255731,0.000255731
107,15709.1,0.5467,0.42925,0.91249,0.81961,0.89352,0.9024,0.77172,0.5148,0.46047,0.86832,0.000250233,0.000250233,0.000250233
108,15875,0.54082,0.42361,0.90766,0.84533,0.89993,0.91605,0.78849,0.48459,0.43723,0.86614,0.000244735,0.000244735,0.000244735
